X,Y,item,pagerank,chosen
-41.67616,79.28042,graph theory,0.0002886997759998745,1.0
11.762714,54.47928,information theory,0.00018457981997001212,1.0
10.137512,66.60585,claude shannon,0.00017274601924602222,1.0
13.402915,19.820757,data mining,9.145942067928083e-05,1.0
69.74061,-12.937062,chaos theory,8.345428540605453e-05,1.0
-68.58769,33.65924,quantum logic gate,8.918986665044396e-05,1.0
44.982,26.456524,control theory,0.0006501684155729332,1.0
-14.433602,-13.714356,collective intelligence,6.098681170817919e-05,1.0
53.037704,59.859154,operations research,0.00010565819864358853,1.0
57.86105,-58.69445,remote sensing,9.992447621021914e-05,1.0
37.595955,-25.866735,simulated reality,0.0007274694924840453,1.0
26.78211,-33.633373,cognitive science,6.098681170817919e-05,1.0
-2.5147297,89.329124,low-density parity-check code,0.0005060017217475599,1.0
-41.159966,47.59701,propositional calculus,9.331625851589204e-05,0.0
29.271246,-68.03386,visual perception,0.00041891596086775863,0.0
46.032978,29.936485,thermodynamic equilibrium,0.00029390851400953443,0.0
-59.39687,-7.861846,electromagnetic wave equation,9.823618941920352e-05,1.0
71.096214,13.707702,fourier transform,0.00013864039347309228,1.0
-42.024975,-64.93244,wearable computer,0.0002798140164713883,1.0
4.6235065,29.966057,analytics,0.00021301877135163845,1.0
-28.866873,57.842552,false dilemma,0.00021569456886539687,1.0
-40.062706,8.238961,semantic web,6.78443620080671e-05,1.0
35.104145,-40.956818,cognitive psychology,0.0005625908078053183,0.0
60.285343,13.671142,system analysis,0.0001516739393120673,0.0
-15.75903,12.633099,natural language processing,0.00027152553033731226,0.0
20.82661,-27.252363,empathy,0.00028272798660418364,1.0
32.56366,-34.44978,embodied cognition,0.0004450740005967033,0.0
-19.381172,-36.629047,speech recognition,0.00028976780318370603,0.0
39.36027,-10.916315,neural network,6.671451664909171e-05,0.0
-50.640156,-45.84557,3d computer graphics,0.0005998964493294445,0.0
-35.065792,-7.511004,digital preservation,0.0007409266271062081,1.0
11.273593,-50.475594,philosophy of perception,0.000883123011957527,1.0
-1.1496218,-57.957584,psychoacoustics,0.00020059430750253001,1.0
20.215858,-37.4162,self-awareness,0.0002036897177682933,1.0
-40.471565,46.71874,truth-functional propositional logic,8.717830387568163e-05,0.0
-31.032658,-34.774303,internet of things,0.0006938903997215182,0.0
-58.755394,11.661168,finite element method,0.00044311055028976084,0.0
8.425646,49.19811,induction (philosophy),0.00017741799248397784,0.0
16.03982,-0.25235462,artificial intelligence,0.00024412711677663926,0.0
-48.560024,-32.043232,computer-aided design,0.000137241961127365,0.0
-64.01276,-37.775997,gpu,0.00012188242230117458,0.0
-8.366099,-7.3981667,collaborative software,0.00014562548316062723,1.0
9.556875,1.6736157,problem finding,0.0001545950497611632,0.0
8.053388,-56.3512,senses,0.00031253097349094193,0.0
