X,Y,Z,item,pagerank,chosen
9.824937,16.88655,16.243883,graph theory,0.0002886997759998745,1.0
12.289222,0.77317464,3.1203113,information theory,0.00018457981997001212,1.0
16.296728,4.5475535,-0.44076863,claude shannon,0.00017274601924602222,1.0
2.522535,6.3054943,4.763423,data mining,9.145942067928083e-05,1.0
0.35880578,-22.990976,-7.506786,chaos theory,8.345428540605453e-05,1.0
25.849655,1.4573644,8.392816,quantum logic gate,8.918986665044396e-05,1.0
3.5368993,-10.312218,3.4067216,control theory,0.0006501684155729332,1.0
-19.966345,7.392808,2.9756262,collective intelligence,6.098681170817919e-05,1.0
10.187257,-25.625462,0.43066418,operations research,0.00010565819864358853,1.0
-3.1971717,-8.477769,-25.024431,remote sensing,9.992447621021914e-05,1.0
-1.9856339,-16.246466,0.14715308,simulated reality,0.0007274694924840453,1.0
-15.551344,-1.0074056,4.983353,cognitive science,6.098681170817919e-05,1.0
16.530157,15.1997385,9.911797,low-density parity-check code,0.0005060017217475599,1.0
8.105018,1.1758168,19.152838,propositional calculus,9.331625851589204e-05,0.0
-15.6648445,-13.693684,-9.831219,visual perception,0.00041891596086775863,0.0
5.6888657,-12.983217,2.5030518,thermodynamic equilibrium,0.00029390851400953443,0.0
18.903671,4.2680902,-17.722383,electromagnetic wave equation,9.823618941920352e-05,1.0
5.60394,-4.744872,-14.758955,fourier transform,0.00013864039347309228,1.0
-17.030767,7.6837506,-14.352985,wearable computer,0.0002798140164713883,1.0
1.5719413,13.188562,6.3564034,analytics,0.00021301877135163845,1.0
12.861766,-7.506101,20.604252,false dilemma,0.00021569456886539687,1.0
-6.2907414,17.4461,11.185881,semantic web,6.78443620080671e-05,1.0
-17.376102,-9.320661,6.635201,cognitive psychology,0.0005625908078053183,0.0
9.701799,-3.4613152,-13.253367,system analysis,0.0001516739393120673,0.0
-13.026301,6.0252676,14.583401,natural language processing,0.00027152553033731226,0.0
-10.468622,-13.213743,16.373867,empathy,0.00028272798660418364,1.0
-16.268728,-4.4104214,10.265344,embodied cognition,0.0004450740005967033,0.0
-6.676975,6.3346767,-5.220939,speech recognition,0.00028976780318370603,0.0
-6.9862766,-5.0357237,-1.7908399,neural network,6.671451664909171e-05,0.0
-1.0886332,5.852978,-18.648748,3d computer graphics,0.0005998964493294445,0.0
-10.872584,15.774086,2.1492832,digital preservation,0.0007409266271062081,1.0
-5.2147746,-17.296457,6.140718,philosophy of perception,0.000883123011957527,1.0
-6.1616817,-6.2590747,-11.994003,psychoacoustics,0.00020059430750253001,1.0
-15.329881,-14.716396,9.009167,self-awareness,0.0002036897177682933,1.0
7.8423862,1.1290811,20.74663,truth-functional propositional logic,8.717830387568163e-05,0.0
-10.956683,10.089239,-3.0528946,internet of things,0.0006938903997215182,0.0
21.961147,-3.3532164,-8.794516,finite element method,0.00044311055028976084,0.0
4.845019,-4.222426,12.984562,induction (philosophy),0.00017741799248397784,0.0
-4.0076723,-1.9431155,5.438548,artificial intelligence,0.00024412711677663926,0.0
-1.0809091,12.29845,-14.737664,computer-aided design,0.000137241961127365,0.0
-0.19722874,20.464632,-15.436694,gpu,0.00012188242230117458,0.0
-21.246546,5.3412304,10.35102,collaborative software,0.00014562548316062723,1.0
-2.9099689,-2.2622736,13.076754,problem finding,0.0001545950497611632,0.0
-22.114716,-7.292644,-6.936598,senses,0.00031253097349094193,0.0
-25.127796,-0.9031845,7.2832007,spiral of silence,0.0003376580980918535,0.0
-0.5375331,-13.550142,-16.472218,spatial dependence,0.0005903752205611727,1.0
1.5581205,-4.0424027,-1.2781696,principal components analysis,4.246790881743274e-05,0.0
-0.2246287,21.5297,-15.134268,graphics processing unit,0.00019216973687484961,0.0
-7.4731054,7.492439,23.125948,constructed language,0.00021082222171908645,1.0
-11.352535,-9.928306,7.482276,animal consciousness,0.00019596707894081348,0.0
-10.285375,-0.7931424,13.795577,computational linguistics,0.00026912301285114454,0.0
-7.34029,14.124631,-12.446633,3d printing,7.420270147615493e-05,0.0
-4.38562,-7.2416472,-2.071212,artificial neural network,0.00048746025129929235,0.0
13.63148,-16.956625,-1.116921,optimal control,0.000367726815212547,0.0
-11.704926,6.628972,14.996349,natural-language processing,0.001191958493293588,1.0
-10.411255,-10.5167,0.8361845,perception,0.0006821165698085305,0.0
-6.040578,8.044295,-6.815631,speech recognition software in healthcare,0.00011973313754561418,0.0
4.3066616,-15.962932,-16.98855,correlation,6.651801466816534e-05,1.0
-1.5384476,-2.4601302,12.711353,problem shaping,0.0002379695880348283,0.0
8.088868,-24.703594,7.7652183,decision theory,9.174966326033349e-05,0.0
-2.312244,-9.080628,3.1331358,cognitive architecture,0.00026086204222074865,0.0
-17.71989,19.879414,-0.9233618,openness,0.00011514378258393296,0.0
-11.87607,20.2989,4.2745523,data management,0.00028590971912910467,0.0
6.2506313,-16.707489,8.914269,system dynamics,0.0002419760742042052,0.0
0.46146733,5.169321,-2.6284566,cluster analysis,8.861238807888826e-05,0.0
7.579527,4.18604,9.800276,fuzzy logic,0.00019666892591735854,0.0
25.818142,8.823318,-1.3966099,ieee 754,4.1704850482493736e-05,0.0
2.2803109,-18.280552,5.911554,dynamical systems theory,0.000350642816381385,0.0
3.983208,-7.779181,-25.176796,superlens,0.0007675046536439219,1.0
-9.3584795,-4.6411495,7.2796154,artificial consciousness,6.651801466816534e-05,0.0
-9.950194,-1.7471634,-2.4470205,biologically inspired computing,0.00021382378597363825,0.0
-6.1811,-23.734776,10.197653,noogenesis,0.0002557619005261022,0.0
-22.39965,2.1996171,4.952509,crowd psychology,0.0001642566932146575,0.0
-13.05648,-9.18759,-8.952087,optical illusion,0.00030919816717056743,0.0
-30.324896,3.3635004,-4.2500124,transhumanism,0.0003174130895064944,1.0
-13.3636,-6.139671,20.140152,speech repetition,0.00010635061782313283,0.0
-9.868201,-13.623689,11.504904,theory of mind,0.0008936620234402579,0.0
-5.9486914,-8.409507,8.262372,turing test,4.233652867165292e-05,0.0
-7.098588,13.331923,18.59405,natural-language programming,9.953241761908785e-05,0.0
11.219429,-14.374347,-3.8338702,kalman filter,0.00013698073400412238,0.0
